教師,代堂數
CCH,-13
CHK,-4
CHLA,-25
CHM,5
CKA,3
CMTA,-8
CPK,-5
CSCA,-9
CSK,-1
CSKA,-7
CSW,-16
CSYA,-1
CWL,3
FMKA,5
FSC,-7
HCHA,-4
KKH,2
KLF,4
KYM,-2
LCF,-1
LCW,7
LCM,-5
LHP,4
LHYB,-2
LKMB,1
LKYA,-4
LML,-10
LPHA,-10
LTW,-3
LWK,-2
LWKA,-6
LWY,5
LKMA,5
LYF,0
LYK,-2
MKW,-1
MKYA,6
MHN,0
NHCA,3
NKK,1
NMY,-1
NSK,5
PCS,-6
PKK,-1
SSTA,-6
TIS,6
TKSA,-1
TKYA,1
TLW,-6
TMHA,-8
TSM,-3
WKY,-1
WWH,1
WYCA,0
YBK,2
YTL,-5
YYS,1
LTYA,4
FCQA,0
WSWA,-5
KCK,0
LEW,6
LIIKA,-9
TYTA,2
CKYA,-9
MWV,-10
LWSA,-10
THLA,-9
HXYA,-4
LJSA,3
LTYB,6
LTSA,6
LYMA,1
